Anime_id,Title,Producer,Studio
59,Chobits,"['TBS', 'Pioneer LDC']",['Madhouse']
60,Chrno Crusade,"['Lantis', 'Kadokawa Shoten', 'Fuji TV']",['Gonzo']
60,Chrno Crusade,"['Lantis', 'Kadokawa Shoten', 'Fuji TV']",['Gonzo']
61,D.N.Angel,['Kadokawa Shoten'],['Xebec']
62,D.C.: Da Capo,"['Lantis', 'King Records']","['feel.', 'Zexcs']"
63,DearS,"['Bandai Visual', 'Hal Film Maker', 'Genco', 'Lantis']",['Daume']
64,Rozen Maiden,"['Mellow Head', 'Pony Canyon', 'TBS', 'Memory-Tech', 'Studio Jack']",['Nomad']
65,Rozen Maiden: Träumend,"['Mellow Head', 'TBS']",['Nomad']
66,Azumanga Daioh,"['Genco', 'Lantis', 'Imagica', 'TV Tokyo Music', 'Cosmic Ray', 'King Records']",['J.C.Staff']
67,Basilisk: Kouga Ninpou Chou,"['GDH', 'Kodansha', 'Sotsu Music Publishing']",['Gonzo']
68,Black Cat,"['GDH', 'Dentsu', 'TBS', 'Sotsu Music Publishing']",['Gonzo']
69,Cluster Edge,['Bandai Visual'],['Sunrise']
71,Full Metal Panic!,['Kadokawa Shoten'],['Gonzo']
71,Full Metal Panic!,['Kadokawa Shoten'],['Gonzo']
72,Full Metal Panic? Fumoffu,"['Tatsunoko Production', 'Kadokawa Shoten', 'Fuji TV', 'Imagica', 'Rakuonsha', 'Kadokawa Pictures Japan', 'KlockWorx', 'Happinet Pictures', 'Animation Do']",['Kyoto Animation']
73,Full Metal Panic! The Second Raid,"['Kadokawa Shoten', 'Happinet Pictures']",['Kyoto Animation']
74,Gakuen Alice,"['Aniplex', 'Sogo Vision']",['Group TAC']
75,Soukyuu no Fafner: Dead Aggressor,['TV Tokyo Music'],['Xebec']
76,Mahou Shoujo Lyrical Nanoha,"['Starchild Records', 'Omnibus Japan']",['Seven Arcs']
77,Mahou Shoujo Lyrical Nanoha A's,"['Starchild Records', 'Omnibus Japan']",['Seven Arcs']
79,Shuffle!,"['Lantis', 'Memory-Tech']","['Xebec', 'Asread']"
80,Mobile Suit Gundam,"['Sotsu', 'Nagoya TV Housou']",['Sunrise']
81,Mobile Suit Gundam: The 08th MS Team,['Atelier Musa'],['Sunrise']
82,Mobile Suit Gundam 0080: War in the Pocket,['Bandai Visual'],['Sunrise']
83,Mobile Suit Gundam: The 08th MS Team - Miller's Report,"['Sotsu', 'Atelier Musa']",['Sunrise']
84,Mobile Suit Gundam 0083: Stardust Memory,['Bandai Visual'],['Sunrise']
85,Mobile Suit Zeta Gundam,"['Sotsu', 'Nagoya TV Housou']",['Sunrise']
86,Mobile Suit Gundam ZZ,"['Sotsu', 'Nagoya TV Housou']",['Sunrise']
87,Mobile Suit Gundam: Char's Counterattack,"['Sotsu', 'Nozomi Entertainment', 'Atelier Musa']","['Sunrise', 'Studio Hibari']"
87,Mobile Suit Gundam: Char's Counterattack,"['Sotsu', 'Nozomi Entertainment', 'Atelier Musa']","['Sunrise', 'Studio Hibari']"
88,Mobile Suit Gundam F91,"['Sotsu', 'Shochiku', 'Atelier Musa', 'Nagoya TV Housou']",['Sunrise']
89,Mobile Suit Victory Gundam,"['TV Asahi', 'Sotsu', 'Apollon']","['Sunrise', 'Studio Deen']"
90,Mobile Suit Gundam Wing,['TV Asahi'],['Sunrise']
91,Mobile Suit Gundam Wing: Endless Waltz,"['Bandai Visual', 'Sotsu']",['Sunrise']
92,After War Gundam X,"['TV Asahi', 'Sotsu']",['Sunrise']
93,Mobile Suit Gundam SEED,"['Sotsu', 'Asatsu DK', 'Mainichi Broadcasting System', 'Sony Music Entertainment', 'Atelier Musa']",['Sunrise']
94,Mobile Suit Gundam SEED Destiny,"['Sotsu', 'Mainichi Broadcasting System', 'Sony Music Entertainment']",['Sunrise']
95,Turn A Gundam,"['Sotsu', 'Fuji TV']","['Sunrise', 'Nakamura Production']"
95,Turn A Gundam,"['Sotsu', 'Fuji TV']","['Sunrise', 'Nakamura Production']"
96,Mobile Fighter G Gundam,"['TV Asahi', 'Sotsu']",['Sunrise']
97,Last Exile,"['GDH', 'Victor Entertainment', 'TV Tokyo Music']",['Gonzo']
98,Mai-HiME,"['Bandai Visual', 'TV Tokyo Music', 'Studio Zain']",['Sunrise']
99,Mai-Otome,"['Bandai Visual', 'Lantis', 'TV Tokyo Music']",['Sunrise']
100,Shin Shirayuki-hime Densetsu Prétear,"['Kadokawa Shoten', 'Rondo Robe']",['Hal Film Maker']
101,Air,"['Pony Canyon', 'TBS', 'Movic']",['Kyoto Animation']
102,Aishiteruze Baby★★,"['Animax', 'Toei Video', 'Sunny Side Up']",['TMS Entertainment']
103,Akazukin Chacha,"['Nihon Ad Systems', 'Shueisha']",['Studio Gallop']
104,Ayashi no Ceres,['Bandai Visual'],['Studio Pierrot']
105,Boys Be...,['Audio Tanaka'],['Hal Film Maker']
106,Hana yori Dango,,['Toei Animation']
107,Ou Dorobou Jing,['Aniplex'],['Studio Deen']
108,Ou Dorobou Jing in Seventh Heaven,['Aniplex'],['Studio Deen']
109,Bakuretsu Tenshi,"['GDH', 'TV Asahi', 'Imagica']",['Gonzo']
110,Chuuka Ichiban!,,['Nippon Animation']
111,Corrector Yui,"['NHK', 'Studio Tron']",['Nippon Animation']
112,Chou Henshin Cosprayers,['m.o.e.'],"['Imagin', 'Studio Live']"
113,Uchuu no Stellvia,"['Starchild Records', 'TV Tokyo Music']",['Xebec']
114,Sakigake!! Cromartie Koukou,['TV Tokyo Music'],['Production I.G']
115,El Hazard: The Alternative World,['Pioneer LDC'],['AIC']
116,El Hazard: The Wanderers,"['TV Tokyo', 'Geneon Universal Entertainment', 'SoftX', 'Pioneer LDC', 'TV Tokyo Music', 'Atelier Musa']",['AIC']
117,El Hazard: The Magnificent World,['Pioneer LDC'],['AIC']
118,El Hazard 2: The Magnificent World,['Pioneer LDC'],['AIC']
119,Final Approach,['Trinet Entertainment'],['Zexcs']
120,Fruits Basket,"['TV Tokyo', 'Nihon Ad Systems', 'King Records']",['Studio Deen']
121,Fullmetal Alchemist,"['Aniplex', 'Dentsu', 'Square Enix', 'Mainichi Broadcasting System']",['Bones']
122,Full Moon wo Sagashite,['Nihon Ad Systems'],['Studio Deen']
123,Fushigi Yuugi,"['TV Tokyo', 'Shogakukan Productions', 'Yomiko Advertising', 'Apollon']",['Studio Pierrot']
123,Fushigi Yuugi,"['TV Tokyo', 'Shogakukan Productions', 'Yomiko Advertising', 'Apollon']",['Studio Pierrot']
124,Fushigi Yuugi: Eikouden,,['Studio Pierrot']
125,Futakoi,['Lantis'],['Telecom Animation Film']
126,Futakoi Alternative,['Lantis'],"['ufotable', 'feel.', 'Studio Flag']"
127,Gate Keepers,['Media Factory'],['Gonzo']
128,Gate Keepers 21,,['Gonzo']
129,Gensoumaden Saiyuuki,"['TV Tokyo', 'Dentsu', 'Group TAC']",['Studio Pierrot']
130,Saiyuuki Reload,,['Studio Pierrot']
131,Saiyuuki Reload Gunlock,,['Studio Pierrot']
132,GetBackers,"['TBS', 'Kodansha', 'Rondo Robe', 'Rakuonsha']",['Studio Deen']
133,Green Green,"['Pony Canyon', 'Memory-Tech', 'Studio Jack']",['Studio Matrix']
134,Gunslinger Girl,"['Marvelous', 'Fuji TV']",['Madhouse']
135,Hikaru no Go,"['TV Tokyo', 'Dentsu', 'Dream Force']",['Studio Pierrot']
136,Hunter x Hunter,['Fuji TV'],['Nippon Animation']
137,Hunter x Hunter: Yorkshin City Kanketsu-hen,,['Nippon Animation']
138,Hunter x Hunter: Greed Island,,['Nippon Animation']
139,Hunter x Hunter: Greed Island Final,,['Nippon Animation']
141,Jinki:Extend,"['TV Asahi', 'GANSIS']",['feel.']
142,Kamikaze Kaitou Jeanne,,['Toei Animation']
143,Kannazuki no Miko,"['Studio Fantasia', 'Geneon Universal Entertainment', 'Remic', 'Front Line', 'Kodansha', 'Rondo Robe', 'Memory-Tech', 'Toshiba Entertainment']",['TNK']
144,Kanon,"['Movic', 'Fuji TV', 'Fuji Pacific Music Publishing']",['Toei Animation']
145,Kareshi Kanojo no Jijou,"['TV Tokyo', 'GANSIS']","['Gainax', 'J.C.Staff']"
146,Kono Minikuku mo Utsukushii Sekai,"['Geneon Universal Entertainment', 'TBS', 'Rondo Robe', 'Movic']","['Gainax', 'Shaft']"
147,Kimi ga Nozomu Eien,"['Lantis', 'Media Factory', 'Age']",['Studio Fantasia']
148,Kita e.: Diamond Dust Drops,,['Studio Deen']
149,Loveless,"['Bandai Visual', 'TV Asahi', 'Movic']",['J.C.Staff']
150,Blood+,"['Aniplex', 'Mainichi Broadcasting System']",['Production I.G']
150,Blood+,"['Aniplex', 'Mainichi Broadcasting System']",['Production I.G']
151,Re: Cutey Honey,['Toei Video'],"['Gainax', 'Toei Animation']"
152,Solty Rei,"['AIC', 'TV Asahi', 'Sotsu Music Publishing']",['Gonzo']
153,Juuni Kokuki,['Sogo Vision'],['Studio Pierrot']
154,Shaman King,"['TV Tokyo', 'Nihon Ad Systems', 'TV Tokyo Music']",['Xebec']
155,X/1999,"['Kadokawa Shoten', 'Victor Entertainment', 'Marubeni', 'Movic', 'Sega', 'Shelty']",['Madhouse']
156,X,"['Bandai Visual', 'Kadokawa Shoten', 'd-rights', 'chara-ani.com']",['Madhouse']
157,Mahou Sensei Negima!,['Starchild Records'],['Xebec']
158,Maria-sama ga Miteru,"['Rondo Robe', 'TV Tokyo Music']",['Studio Deen']
159,Boukyaku no Senritsu,"['Kadokawa Shoten', 'TBS', 'KENMedia']","['Gainax', 'J.C.Staff']"
160,"Ima, Soko ni Iru Boku",['Pioneer LDC'],['AIC']
161,Peace Maker Kurogane,"['GDH', 'TV Asahi', 'Imagica']",['Gonzo']
162,Pita Ten,['Broccoli'],['Madhouse']
163,Power Stone,['Avex Entertainment'],['Studio Pierrot']
164,Mononoke Hime,"['Tokuma Shoten', 'Nippon Television Network']",['Studio Ghibli']
165,RahXephon,"['Asatsu DK', 'Fuji TV']",['Bones']
166,Samurai 7,"['GDH', 'Sotsu Music Publishing']",['Gonzo']
167,Scrapped Princess,"['Kadokawa Shoten', 'A-Line']",['Bones']
168,s.CRY.ed,['Yomiko Advertising'],['Sunrise']
169,Shingetsutan Tsukihime,"['TBS', 'Rondo Robe', 'Movic']",['J.C.Staff']
170,Slam Dunk,"['TV Asahi', 'Animax']",['Toei Animation']
171,Strange Dawn,,['Hal Film Maker']
173,Tactics,"['Studio Izena', 'MediaNet']",['Studio Deen']
174,Tenjou Tenge,['TV Asahi'],['Madhouse']
175,Tokyo Underground,['TV Tokyo Music'],['Studio Pierrot']
176,Triangle Heart: Sweet Songs Forever,['Discovery'],['Seven Arcs']
177,Tsubasa Chronicle,"['NHK', 'Kodansha']",['Bee Train']
178,Ultra Maniac,"['WAO World', 'Studio Jack']",['Production Reed']
179,Ultra Maniac OVA,,['Production Reed']
180,Vandread,"['GDH', 'Dentsu', 'Media Factory']",['Gonzo']
181,Vandread: The Second Stage,"['GDH', 'Dentsu', 'Media Factory']",['Gonzo']
182,Tenkuu no Escaflowne,"['TV Tokyo', 'Bandai Visual']",['Sunrise']
183,Whistle!,['Marvelous'],['Studio Comet']
184,Xenosaga The Animation,['Happinet Pictures'],['Toei Animation']
185,Initial D First Stage,"['OB Planning', 'Fuji TV']","['Studio Gallop', 'Studio Comet']"
186,Initial D Second Stage,"['OB Planning', 'Fuji TV']",['Pastel']
187,Initial D Third Stage,['OB Planning'],['Studio Deen']
188,Gosenzo San'e,"['AIC', 'Green Bunny', 'BEAM Entertainment']",
189,Love Hina,"['Production I.G', 'TV Tokyo', 'Yomiko Advertising', 'King Records', 'Audio Tanaka']",['Xebec']
190,Love Hina Again,"['Starchild Records', 'Audio Tanaka']",['Xebec']
191,Love Hina Christmas Special: Silent Eve,"['Xebec', 'Yomiko Advertising', 'Audio Tanaka']",
192,Love Hina Haru Special: Kimi Sakura Chiru Nakare!!,"['Starchild Records', 'Yomiko Advertising', 'Audio Tanaka']",['Xebec']
193,Maburaho,"['Kadokawa Shoten', 'KlockWorx', 'Happinet Pictures', 'Sony PCL']",['J.C.Staff']
194,Macross Zero,['Bandai Visual'],['Satelight']
195,Onegai☆Teacher,"['Bandai Visual', 'Genco']",['Daume']
196,Onegai☆Twins,"['Bandai Visual', 'Genco', 'Lantis']",['Daume']
197,Rizelmine,['m.o.e.'],"['Madhouse', 'Imagin']"
198,Speed Grapher,"['TV Asahi', 'WAO World', 'TAP']",['Gonzo']
199,Sen to Chihiro no Kamikakushi,['Toho'],['Studio Ghibli']
200,Tenshi na Konamaiki,,['TMS Entertainment']
201,Video Girl Ai,['Shueisha'],['Production I.G']
202,Wolf's Rain,"['Bandai Visual', 'Asatsu DK', 'Fuji TV']",['Bones']
203,Words Worth,['Green Bunny'],['Arms']
204,Yumeria,,['Studio Deen']
205,Samurai Champloo,"['Victor Entertainment', 'Fuji TV', 'Barnum Studio', 'Tokuma Shoten', 'flying DOG']",['Manglobe']
206,Lodoss-tou Senki: Eiyuu Kishi Den,"['Kadokawa Shoten', 'Yomiko Advertising', 'Marubeni']",['AIC']
207,Lodoss-tou Senki,"['Kadokawa Shoten', 'TBS', 'Marubeni']",['Madhouse']
208,R.O.D: Read or Die,"['Aniplex', 'SME Visual Works']",['Studio Deen']
209,R.O.D: The TV,"['Aniplex', 'Studio Deen', 'Broccoli', 'Sony Music Entertainment']",['J.C.Staff']
210,Ranma ½,"['Shogakukan Productions', 'Kitty Films', 'Fuji TV', 'Shogakukan']",['Studio Deen']
211,Pure Mail,"['Pink Pineapple', 'Green Bunny']",
212,Project A-Ko,['SOEISHINSHA'],['APPP']
214,Pia Carrot e Youkoso!! 2,['Pink Pineapple'],
215,Pia Carrot e Youkoso!! 2 DX,,
216,Pia Carrot e Youkoso!!: Sayaka no Koi Monogatari,"['Geneon Universal Entertainment', 'I-move']",['Bones']
217,Shin Angel,"['Pink Pineapple', 'Studio Tulip']",
218,Kidou Senkan Nadesico,"['Starchild Records', 'Yomiko Advertising', 'Audio Tanaka']",['Xebec']
219,Kidou Senkan Nadesico: The Prince of Darkness,"['TV Tokyo', 'Starchild Records', 'Kadokawa Shoten', 'Toei Video', 'Movic', 'Sega', 'King Records', 'Audio Tanaka']",['Xebec']
221,Mezzo Forte,['Green Bunny'],['Arms']
223,Dragon Ball,['Fuji TV'],['Toei Animation']
225,Dragon Ball GT,['Fuji TV'],['Toei Animation']
226,Elfen Lied,"['VAP', 'Genco', 'A-Line']",['Arms']
227,FLCL,"['Starchild Records', 'GANSIS']","['Gainax', 'Production I.G']"
228,Jigoku Shoujo,"['Aniplex', 'SKY Perfect Well Think']",['Studio Deen']
229,Ninin ga Shinobuden,"['Toshiba Entertainment', 'Happinet Pictures']",['ufotable']
230,Air Master,"['VAP', 'Nippon Television Network']",['Toei Animation']
231,Asagiri no Miko,"['Starchild Records', 'TV Tokyo Music', 'Shounen Gahousha']","['Chaos Project', 'GANSIS']"
232,Cardcaptor Sakura,"['NHK', 'Kodansha', 'Sogo Vision', 'YTV']",['Madhouse']
233,Daa! Daa! Daa!,,['J.C.Staff']
234,Dan Doh!!,"['TV Tokyo', 'HoriPro']",['Tokyo Kids']
235,Detective Conan (TV),"['Yomiuri Telecasting', 'Animax', 'YTV', 'TMS-Kyokuchi', 'Shogakukan']",['TMS Entertainment']
236,E's Otherwise,['Sotsu'],['Studio Pierrot']
237,Koukyoushihen Eureka Seven,"['Aniplex', 'Bandai Visual', 'Kadokawa Shoten', 'Mainichi Broadcasting System', 'Bandai', 'Ashi Production', 'Sony Music Entertainment', 'Bandai Namco Games', 'Hakuhodo DY Media Partners', 'Bandai Channel', 'USEN']",['Bones']
238,Rekka no Honoo,['Fuji TV'],['Studio Pierrot']
239,Gankutsuou,"['GDH', 'TV Asahi', 'Media Factory', 'Sotsu Music Publishing']",['Gonzo']
240,Genshiken,"['Genco', 'Lantis', 'Kids Station', 'Toshiba Entertainment']",['Palm Studio']
241,Girls Bravo: First Season,"['Lantis', 'Kadokawa Shoten', 'Fuji TV', 'Rakuonsha', 'KlockWorx', 'Happinet Pictures', 'Studio Jack']",['AIC Spirits']
243,Gravitation,['Aniplex'],['Studio Deen']
244,Agatha Christie no Meitantei Poirot to Marple,,['OLM']
245,Great Teacher Onizuka,"['Aniplex', 'Fuji TV']",['Studio Pierrot']
246,Groove Adventure Rave,"['TBS', 'Kodansha']",['Studio Deen']
247,Harukanaru Toki no Naka de: Hachiyou Shou,['Yumeta Company'],
248,Ichigo 100%,['Shueisha'],['Madhouse']
249,InuYasha (TV),"['Yomiuri Telecasting', 'Shogakukan']",['Sunrise']
251,Kyou kara Maou!,['NHK'],['Studio Deen']
252,Madlax,['Victor Entertainment'],['Bee Train']
253,Jungle wa Itsumo Hare nochi Guu,"['Bandai Visual', 'Sotsu']",['Shin-Ei Animation']
254,Jungle wa Itsumo Hare nochi Guu Deluxe,['Bandai Visual'],['Shin-Ei Animation']
255,Jungle wa Itsumo Hare nochi Guu Final,['Bandai Visual'],['Shin-Ei Animation']
255,Jungle wa Itsumo Hare nochi Guu Final,['Bandai Visual'],['Shin-Ei Animation']
256,Hoshi no Koe,,['CoMix Wave Films']
258,Hitsuji no Uta,"['Group TAC', 'KENMedia']",['Madhouse']
259,Happy☆Lesson,['KSS'],
261,Happy☆Lesson: Advance,"['KSS', 'Studio Jack']",['Studio Hibari']
262,Happy☆Lesson: The Final,['KSS'],['Studio Hibari']
263,Hajime no Ippo,['VAP'],['Madhouse']
264,Hajime no Ippo: Champion Road,,['Madhouse']
265,Hajime no Ippo: Mashiba vs. Kimura,,['Madhouse']
266,Gunparade March: Arata Naru Kougunka,"['Rondo Robe', 'd-rights']",['J.C.Staff']
267,Gungrave,['Tohokushinsha Film Corporation'],['Madhouse']
269,Bleach,"['TV Tokyo', 'Aniplex', 'Dentsu', 'TV Tokyo Music', 'Studio Kelmadick', 'Shueisha']",['Studio Pierrot']
270,Hellsing,"['Fuji TV', 'Pioneer LDC']",['Gonzo']
271,Gad Guard,"['Hal Film Maker', 'Media Factory', 'Imagica', 'Amber Film Works']",['Gonzo']
272,Noir,['Victor Entertainment'],['Bee Train']
274,Kiddy Grade,['gimik'],['Gonzo']
275,Love♥Love?,['m.o.e.'],"['Imagin', 'Studio Live']"
276,Mahoromatic: Automatic Maiden,"['TBS', 'Pioneer LDC']","['Gainax', 'Shaft']"
277,Mahoromatic: Motto Utsukushii Mono,['Pioneer LDC'],"['Gainax', 'Shaft']"
278,Viewtiful Joe,"['TV Tokyo', 'MediaNet', 'Capcom']",['Group TAC']
279,Kyougoku Natsuhiko: Kousetsu Hyaku Monogatari,"['Tokyo Movie Shinsha', 'RCC Chugoku Broadcasting', 'Toho', 'Tohokushinsha Film Corporation']",['TMS Entertainment']
280,Animal Yokochou,"['TV Tokyo', 'Geneon Universal Entertainment', 'Dentsu', 'TV Tokyo Music', 'Dentsu Tec']",['Studio Gallop']
281,Akane Maniax,"['Lantis', 'Age']",
282,Angel Heart,['Aniplex'],['TMS Entertainment']
283,Akage no Anne,,['Nippon Animation']
284,Area 88 (TV),['TV Asahi'],['Group TAC']
285,Argento Soma,,['Sunrise']
286,B'T X,"['Tokyo Movie Shinsha', 'TMS-Kyokuchi']",['TMS Entertainment']
287,Grappler Baki (TV),['Free-Will'],['Group TAC']
288,Bakuten Shoot Beyblade,"['d-rights', 'Heewon Entertainment']",['Madhouse']
289,Comic Party,['KSS'],['OLM']
290,Seikai no Monshou,"['Bandai Visual', 'WOWOW', 'BeSTACK']",['Sunrise']
290,Seikai no Monshou,"['Bandai Visual', 'WOWOW', 'BeSTACK']",['Sunrise']
291,D.C.S.S: Da Capo Second Season,,['feel.']
292,Dear Boys,['OB Planning'],['A.C.G.T.']
293,Di Gi Charat,['Broccoli'],['Madhouse']
294,Divergence Eve,"['Media Factory', 'Imagica', 'KlockWorx']",['Radix']
295,Divergence Eve 2: Misaki Chronicles,"['Imagica', 'KlockWorx']",['Radix']
297,Grenadier: Hohoemi no Senshi,"['Shochiku', 'Kadokawa Shoten', 'Toshiba Entertainment']",['Group TAC']
298,.hack//Tasogare no Udewa Densetsu,"['Bandai Visual', 'Yomiko Advertising']",['Bee Train']
299,.hack//Liminality,"['Bandai Visual', 'Bandai', 'CyberConnect2']",['Bee Train']
300,3x3 Eyes,"['Bandai Visual', 'Kodansha']",['Toei Animation']
301,Cinderella Boy,['Magic Bus'],
302,Mirai Shounen Conan,,['Nippon Animation']
303,Aa! Megami-sama!: Chichaitte Koto wa Benri da ne,['Bandai Visual'],['OLM']
304,Aa! Megami-sama! Movie,"['Bandai Visual', 'Pony Canyon', 'Kodansha', 'Movic', 'Sega']",['AIC']
306,Abenobashi Mahou☆Shoutengai,"['Dentsu', 'Starchild Records', 'Imagica', 'Rakuonsha', 'King Records']","['Gainax', 'Madhouse']"
307,Kerokko Demetan,,['Tatsunoko Production']
308,Zettai Shounen,"['Bandai Visual', 'Mellow Head', 'Genco', 'Ginga Ya', 'Trilogy Future Studio']",['Ajia-Do']
309,Akahori Gedou Hour Rabuge,"['Lantis', 'Kadokawa Shoten', 'Studio Jack', 'NBCUniversal Entertainment Japan', 'Audio Tanaka', 'On The Run']",['Radix']
310,"Chiisana Obake Acchi, Kocchi, Socchi",,['Studio Pierrot']
311,Ace wo Nerae!,"['Tokyo Movie Shinsha', 'Mainichi Broadcasting System']",['Madhouse']
312,Ace wo Nerae!: Final Stage,['Tokyo Movie Shinsha'],
313,Ace wo Nerae! (1979),,['Madhouse']
314,Ace wo Nerae! 2,"['Bandai Visual', 'Tokyo Movie Shinsha']",
315,Xiao Qian,"['Polygram Japan', 'Film Workshop']",['Triangle Staff']
316,Nageki no Kenkou Yuuryouji,"['Pink Pineapple', 'Critical Mass Video']",['AIC']
317,Final Fantasy VII: Advent Children,,['Square Enix']
318,Hand Maid May,"['Geneon Universal Entertainment', 'Pioneer LDC', 'Cosmic Ray']","['TNK', 'Production Reed']"
320,A Kite,"['Green Bunny', 'BEAM Entertainment']",['Arms']
321,Najica Dengeki Sakusen,"['GDH', 'Media Factory', 'Nippon Columbia']","['Studio Fantasia', 'Amber Film Works']"
322,Paradise Kiss,"['Aniplex', 'Fuji TV']",['Madhouse']
324,Kidou Keisatsu Patlabor: On Television,['Tohokushinsha Film Corporation'],['Sunrise']
324,Kidou Keisatsu Patlabor: On Television,['Tohokushinsha Film Corporation'],['Sunrise']
326,Petshop of Horrors,"['Trans Arts', 'TBS']",['Madhouse']
327,Puchi Pri*Yucie,,['Gainax']
328,Piano (TV),"['Animate Film', 'Kids Station', 'Pioneer LDC']",['OLM']
329,Planetes,"['Bandai Visual', 'NHK']",['Sunrise']
330,Midori no Hibi,"['Bandai Visual', 'Lantis']",['Studio Pierrot']
331,Mahoujin Guruguru,"['Dentsu', 'Asahi Broadcasting']",['Nippon Animation']
332,Dokidoki♡Densetsu: Mahoujin Guruguru,"['TV Tokyo', 'Sotsu']",['Nippon Animation']
333,Mama wa Shougaku 4 Nensei,,['Sunrise']
334,Marmalade Boy,['Asahi Broadcasting'],['Toei Animation']
335,Matantei Loki Ragnarok,"['TV Tokyo', 'Rakuonsha']",['Studio Deen']
336,Ginyuu Mokushiroku Meine Liebe,['Rondo Robe'],['Bee Train']
337,Psychic Academy,"['Starchild Records', 'GANSIS']",['E&amp;G Films']
338,Versailles no Bara,['Nippon Television Network'],['Tokyo Movie Shinsha']
339,Serial Experiments Lain,"['TV Tokyo', 'Geneon Universal Entertainment', 'Genco', 'Pioneer LDC', 'TV Tokyo Music', 'Fuji Pacific Music Publishing']",['Triangle Staff']
